wrinkles_severity,acne_severity,dark_circle_severity,pigmentation,skin_type,skin_tone,redness,dark_spots,product_recommendation
6,9,7,10,normal,MEDIUM,2,7,['sunscreen']
5,1,5,,sensitive,,2,0,
6,1,0,0,sensitive, Dark,6,0,serumm
8,5,,3,norml,brown,4,1,['serum']
4,,3,9,combination,,10,,['toner']
5,5,8,3, COMBINATION,fair,4,5,
3,,1,6,combination,brown,2,9,['serum']
3,8,4,8, COMBINATION,brown,9,9,['sunscreen']
9,9,5,7,Dry,brown,4,4,['moisturizer']
2,6,1,,sensitive,,2,1,['toner']
7,3,,7,sensitive,olive,7,7,moistrzr
7,7,8,1, COMBINATION,medum,8,7,['serum']
10,9,,4, COMBINATION,medium,10,1,['serum']
9,4,7,8,OILY, Dark,8,,"['sunscreen', 'serum']"
6,10,7,9, COMBINATION,DARK,2,5,['sunscreen']
10,2,8,2,BAO OCNNITIM,medum,,8,face wash
,7,7,1,combination,brown,5,,"['toner', 'facewash']"
1,4,3,8,yrd,,0,5,['sunscreen']
6,5,4,3,OILY, Dark,4,8,face wash
4,,7,6, COMBINATION,olive,3,9,['moisturizer']
,6,5,2, COMBINATION,fair,9,2,['toner']
,2,10,9,norml,OLIVE,0,,['sunscreen']
1,2,4,9,iloy,dark,3,,['sunscreen']
5,4,,0,OIICAN OTNMB,brown,5,8,['serum']
2,1,5,2, normal ,DARK,3,5,['moisturizer']
5,1,2,8,, Dark,,2,['sunscreen']
8,3,0,10,dry, aDkr,1,2,"['moisturizer', 'serum']"
8,8,10,5,norml,brown,10,5,['serum']
2,4,10,3,sensitive,medum,9,9,['facewash']
8,8,0,,DRY,fair,8,4,['moisturizer']
3,,3,1,NORML,fair,8,4,['moisturizer']
10,2,5,8,sensitive,dark,8,4,['sunscreen']
7,3,4,6,normal,FAIR,6,6,['moisturizer']
7,10,4,0,,fair,10,8,moistrzr
8,6,5,4,combination,,4,2,['serum']
9,0,,7,norml,MEDIUM,1,7,serumm
7,9,7,9, COMBINATION,,2,9,['sunscreen']
,10,3,,dry,brown,10,8,moistrzr
7,9,1,7,,MEDUM,10,10,"['toner', 'facewash', 'sunscreen']"
2,9,5,4, norml , FAIR ,7,8,"['toner', 'facewash']"
10,,5,5, dry ,brown,0,4,
,5,,,combination,,10,4,['toner']
2,7,8,5,sensitive,nbowr,5,1,"['toner', 'facewash']"
9,1,5,7,oily,brown,1,8,['sunscreen']
8,3,3,3,Dry,brown,10,4,face wash
7,1,10,4,,dark,1,10,['serum']
10,,0,6,  COMBINATION ,olive,2,3,['serum']
7,2,6,0,sensitive, fair ,,5,['facewash']
,6,4,,,,7,8,face wash
5,3,1,2,NORMAL,dark,4,7,face wash
,1,4,8,OILY,,1,7,['sunscreen']
2,7,3,,, Dark,6,4,
3,6,,8,combination,edummi,4,2,['facewash']
1,6,6,4, COMBINATION,FAIR,3,10,moistrzr
1,1,6,,SENSITIVE,olive,6,,['toner']
3,3,10,1,norml, fair ,8,0,['sunscreen']
,,9,6, COMBINATION,medum,4,5,
5,8,9,3,sensitive,fair,10,4,"['toner', 'facewash']"
3,0,9,5,oily,OLIVE,,3,
,4,2,1,NORML,brown,5,,['moisturizer']
10,9,2,7, Dry ,medium,8,6,"['sunscreen', 'moisturizer', 'serum']"
1,7,10,10,dry,dark,4,10,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
9,6,4,1, norml ,medum,3,10,['serum']
,5,4,9,OILY, DARK,10,0,['sunscreen']
0,2,8,10,OILY,brown,1,9,['sunscreen']
4,8,6,10,normal,,7,,['facewash']
,8,0,0,normal, dark ,9,7,"['toner', 'facewash']"
1,8,9,,Dry,medum,3,1,['moisturizer']
2,9,0,2,norml,medium,4,2,"['toner', 'facewash']"
2,9,5,2,dry,BROWN,2,8,
1,0,9,7,normal,medum,2,6,['sunscreen']
1,10,10,7,Dry,medium,8,7,['moisturizer']
7,7,6,,normal,medium,7,4,moistrzr
5,3,0,4,OILY,dark,2,8,['facewash']
3,,1,3,normal, Dark,2,2,moistrzr
4,0,4,7,combination,DARK,9,8,['sunscreen']
0,1,,5, COMBINATION,OLIVE,0,10,['toner']
0,1,,1,normal,medum,3,2,face wash
2,8,7,9, Dry , Dark,8,0,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
4,3,10,8,OILY,dark,2,4,['sunscreen']
7,,4,8,sensitive,olive,1,5,"['sunscreen', 'serum']"
4,8,,7,combination,fair,6,9,"['toner', 'facewash', 'sunscreen']"
9,4,10,4,Dry, Dark,10,3,"['moisturizer', 'serum']"
1,8,9,9,, Dark,,,"['toner', 'facewash']"
2,10,10,2, COMBINATION,,2,7,moistrzr
5,0,2,3,OILY, Dark,1,5,['moisturizer']
9,0,0,7,  COMBINATION ,FAIR,3,0,face wash
6,8,,6,,olive,0,0,serumm
0,7,6,2,oily,medum,2,2,"['toner', 'facewash']"
1,3,6,,normal, brown ,2,9,serumm
6,3,0,4, oily ,FAIR,,2,['moisturizer']
9,3,2,9, sensitive ,brown,7,9,['sunscreen']
7,3,10,1,dry,MEDUM,2,2,"['moisturizer', 'serum']"
3,10,1,1,combination,FAIR,2,0,['facewash']
7,5,2,,Dry,fair,2,0,"['moisturizer', 'serum']"
2,,,6,OILY,FAIR,,8,['facewash']
,3,5,10,sensitive,brown,0,7,['sunscreen']
5,,7,3,sensitive, FAIR ,8,3,['facewash']
0,,9,4,dry,,9,10,['moisturizer']
4,3,5,0,OILY,medum,2,10,['facewash']
6,10,7,8,combination, Dark,0,3,"['toner', 'facewash', 'sunscreen']"
1,1,0,4,sensitive,fair,1,3,
8,10,2,7,sensitive,fair,9,5,"['toner', 'facewash', 'serum', 'sunscreen']"
9,4,1,10,,dark,2,7,['sunscreen']
8,10,10,6,dry,FAIR,0,5,serumm
6,5,9,10,OILY, Dark,,8,
2,5,5,7, COMBINATION,MEDUM,3,5,serumm
0,8,8,,OILY, DARK,10,,"['toner', 'facewash']"
,4,3,4, normal ,FAIR,6,8,['serum']
0,4,2,2,combination,olive,,1,moistrzr
5,5,2,0,combination,brown,6,1,['moisturizer']
,2,0,9,oily, Dark,8,4,
0,9,10,, sensitive ,,9,2,['moisturizer']
10,3,7,4,COMBINATION, Dark,5,9,['serum']
3,,2,9,,medum,0,5,['sunscreen']
0,9,2,,OILY, dark ,6,7,['toner']
9,9,1,9,oily,medum,6,3,"['toner', 'facewash', 'sunscreen']"
0,10,2,4,dry,,9,7,"['toner', 'facewash', 'moisturizer']"
,1,7,, COMBINATION,fair,9,0,['serum']
1,3,2,0, oily ,medum,3,10,['moisturizer']
10,1,9,4,OILY, brown ,0,,
9,1,10,2,sensitive, Dark,2,3,['serum']
6,8,,0,dry,FAIR,10,9,"['toner', 'facewash', 'moisturizer']"
0,10,5,,NORML,FAIR,9,6,['facewash']
6,2,6,8,OILY, medium ,7,2,['sunscreen']
9,4,7,, sensitive ,brown,6,10,['serum']
9,9,6,10,sensitive,fair,7,0,face wash
7,0,2,8,dry,riaf,3,9,
8,0,7,2,dry,medum,,6,['moisturizer']
1,6,6,8,combination, Dark,1,7,['sunscreen']
4,9,8,,NORMAL,FAIR,2,,"['toner', 'facewash']"
10,9,7,8, sensitive ,olive,1,2,"['toner', 'facewash']"
7,1,7,4,combination,dark,5,9,['toner']
3,,7,8,,,7,8,['serum']
0,4,6,7,,dark,10,,['sunscreen']
10,3,6,4, OILY , Dark,0,1,['serum']
4,5,0,2,oily,,5,5,['sunscreen']
,,2,0,,dark,6,,
2,4,3,0,normal, dark ,,3,
0,,5,3,oily,FAIR,3,1,['moisturizer']
0,2,9,4, COMBINATION,brown,8,6,['toner']
,7,3,5, norml ,fair,0,5,['moisturizer']
,4,1,0,OILY,fair,5,10,['sunscreen']
1,8,8,0,OILY,,4,7,"['toner', 'facewash']"
3,2,,4,COMBINATION,dark,7,5,['sunscreen']
1,10,0,2,OILY, DARK,1,3,"['toner', 'facewash']"
2,8,4,3,combination,BROWN,9,,"['toner', 'facewash']"
3,5,9,0,,FAIR,1,3,['serum']
8,5,5,10,Dry,olive,8,3,"['sunscreen', 'moisturizer']"
2,,6,8, COMBINATION, medium ,5,1,moistrzr
5,7,5,8,sensitive,FAIR,3,2,"['toner', 'facewash', 'sunscreen']"
10,4,2,10, Dry ,medium,,1,"['sunscreen', 'moisturizer']"
3,2,,6,OILY,FAIR,,9,['serum']
7,8,2,9,OILY,brown,6,8,"['sunscreen', 'serum']"
0,9,8,6,mintoiconba, medium ,9,3,
10,5,10,10, COMBINATION,dark,5,5,"['sunscreen', 'serum']"
1,4,,5, oily , kDra,2,10,['serum']
4,7,10,4,sensitive,fair,9,2,"['toner', 'facewash']"
8,10,2,1, COMBINATION,,5,7,['serum']
5,0,7,0, COMBINATION,dark,8,7,
5,1,8,,combination,brown,3,,['facewash']
5,0,6,0,OILY,medum,5,4,['facewash']
9,2,5,3,combination,rfai,5,3,['moisturizer']
,4,,5,oily,fair,9,8,['serum']
,9,,7,combination,brown,2,5,"['toner', 'facewash']"
3,0,8,3,norml, fair ,10,4,['facewash']
2,3,8,6, COMBINATION,olive,7,2,serumm
2,6,7,4,oily, Dark,0,2,
4,2,0,6,normal,medium,,9,['moisturizer']
5,5,6,10,SENSITIVE,BROWN,0,10,
2,8,1,4, COMBINATION,dark,2,4,"['toner', 'facewash']"
6,,2,10,Dry,medium,5,6,"['sunscreen', 'moisturizer']"
9,2,3,5,Dry,medium,4,10,['moisturizer']
8,0,4,10,OILY, DARK,0,,
6,4,5,3,OILY,medium,8,2,['sunscreen']
1,6,1,5, combination ,dark,10,7,['moisturizer']
2,2,2,0, COMBINATION,dark,8,4,serumm
,4,6,0,sensitive,medum,8,0,face wash
3,6,10,8,norml, Dark,0,10,['sunscreen']
5,,9,, dry ,brown,4,2,['moisturizer']
9,1,,1,sensitive, DARK,3,5,
4,3,7,6,DRY,  Dark ,3,,['moisturizer']
4,9,4,, Dry , Dark,8,10,serumm
4,9,1,3,sensitive,fair,3,,['sunscreen']
7,4,0,1,Dry,FAIR,2,2,['moisturizer']
9,5,8,9, normal ,olive,0,5,moistrzr
,3,9,2,Dry,medium,5,,face wash
1,4,0,8,oily,FAIR,8,2,['sunscreen']
4,2,,0, COMBINATION,dark,4,5,['toner']
10,6,2,6,,AIRF,,9,['toner']
10,5,4,3,norml, olive ,5,2,['serum']
,4,10,4,OILY,dark,8,3,['sunscreen']
,8,3,2,sensitive,fair,6,6,"['toner', 'facewash']"
7,3,,8,sensitive,FAIR,9,6,face wash
,8,4,3,oily, FAIR ,,8,
5,10,1,6, COMBINATION,FAIR,2,5,['moisturizer']
7,2,4,5,Dry,medium,0,9,"['moisturizer', 'serum']"
6,3,9,10,dry,medium,6,6,serumm
,4,,7,Dry,dark,4,4,serumm
6,5,3,1,  COMBINATION ,ra Dk,7,2,face wash
1,9,6,9,oily, FAIR ,5,7,"['toner', 'facewash', 'sunscreen']"
5,6,1,,OILY,,1,5,['serum']
8,2,10,, COMBINATION,FAIR,7,4,['facewash']
5,,10,9, COMBINATION,fair,10,2,['moisturizer']
,10,4,0,oily,,1,9,"['toner', 'facewash']"
,3,8,0,combination,,2,2,['serum']
5,4,2,3, oily ,FAIR,10,6,['facewash']
2,8,7,,norml, olive ,4,3,serumm
4,2,9,,Dry,medium,0,7,['moisturizer']
8,,3,1,sensitive,,3,8,['serum']
9,8,4,4,SENSITIVE,medium,9,2,face wash
5,6,9,,,fair,6,2,moistrzr
6,,1,3,NORML,dark,6,8,['moisturizer']
4,,6,4,,brown,2,2,['moisturizer']
5,9,10,3,OILY,olive,2,3,"['toner', 'facewash']"
2,9,10,10,oily,medium,5,,"['toner', 'facewash', 'sunscreen']"
3,2,2,10,oily,medium,2,8,['sunscreen']
10,10,2,,combination,,7,3,
6,,7,2,iloy,dark,4,0,['moisturizer']
4,,,1,COMBINATION, Dark,,8,['moisturizer']
9,0,1,1,OILY,MEDIUM,9,6,face wash
5,8,10,6, COMBINATION,,2,2,"['toner', 'facewash']"
0,7,0,10,OILY, Dark,1,10,moistrzr
6,0,3,,BCMOAINONIT ,MEDUM,7,10,['toner']
7,2,4,3, COMBINATION,medum,,7,serumm
10,6,6,9, COMBINATION,dark,9,6,['sunscreen']
0,6,3,2,sensitive,FAIR,4,1,['moisturizer']
7,8,4,2,OLIY,brown,9,6,"['toner', 'facewash']"
,9,2,8,oily, olive ,1,10,"['toner', 'facewash', 'sunscreen']"
8,10,0,3,,medium,9,5,moistrzr
6,2,8,3,dry,dark,4,7,moistrzr
2,7,10,0,dry,,7,10,"['toner', 'facewash', 'moisturizer']"
10,9,7,5, sensitive , medum ,4,8,serumm
5,0,5,0,sensitive, Dark,5,,['facewash']
5,5,0,8, COMBINATION,dark,7,1,['sunscreen']
1,4,9,1,OILY,,10,0,['serum']
1,4,10,9,sensitive,brown,6,4,moistrzr
0,6,5,6,OILY,olive,1,4,['toner']
7,6,5,5, sensitive ,medium,0,0,face wash
6,2,5,4,combination,fair,2,5,['toner']
2,7,6,8,,FAIR,4,0,"['toner', 'facewash', 'sunscreen']"
10,9,10,7,,,1,5,['facewash']
0,5,3,4,normal,,,6,['serum']
5,0,8,5,normal,medium,,8,['sunscreen']
9,4,10,5,Dry,fair,5,6,"['moisturizer', 'serum']"
,4,4,,, Dark,9,,moistrzr
7,1,9,7,, brown ,1,0,"['sunscreen', 'serum']"
9,8,10,7,Dry,fair,5,3,
1,7,2,9,combination, medium ,3,4,"['toner', 'facewash', 'sunscreen']"
3,10,7,8, dry ,medium,0,1,['moisturizer']
,0,10,5,dry, FAIR ,4,6,moistrzr
5,2,4,2,OILY,medum,8,1,['moisturizer']
5,8,9,6,NORML,brown,4,1,"['toner', 'facewash']"
1,,9,,,FAIR,7,9,
6,6,2,6,oily,medium,,,moistrzr
,0,10,3,  COMBINATION , Dark,1,6,['sunscreen']
2,3,8,1,,dark,7,0,['sunscreen']
2,3,5,,normal,brown,7,1,['facewash']
4,5,7,2,sensitive,FAIR,,4,['toner']
7,3,8,7,oily, FAIR ,4,2,"['sunscreen', 'serum']"
0,4,4,3,,dark,9,9,
7,,9,8,sensitive,medum,2,3,['sunscreen']
5,8,9,1, oily ,,1,1,"['toner', 'facewash']"
4,5,,2,oily, Dark,1,10,['moisturizer']
5,,8,10,,DARK,9,,['sunscreen']
1,5,4,, COMBINATION, Dark,2,4,['sunscreen']
3,4,1,10,dry, DARK,0,4,['moisturizer']
10,,2,7,OILY,MEDUM,10,7,['sunscreen']
8,0,3,5,lrnom,medium,6,4,['serum']
6,10,9,7,dry,dark,9,,"['toner', 'facewash', 'moisturizer']"
10,3,0,10,combination,fair,4,9,moistrzr
9,9,3,4, dry ,medum,3,,"['toner', 'facewash', 'moisturizer']"
2,2,9,6,,medum,1,8,face wash
7,5,8,,sensitive,fair,2,3,['serum']
6,0,,, COMBINATION,dark,7,5,['moisturizer']
2,9,,5,combination,,4,2,"['toner', 'facewash']"
3,10,10,0, oily ,drak,,4,"['toner', 'facewash']"
1,10,8,6,Dry,bwrno,7,2,"['toner', 'facewash', 'moisturizer']"
6,10,0,5,norml,brown,9,5,serumm
,9,5,2,combination,fair,5,2,"['toner', 'facewash']"
,8,6,3,,fair,2,5,"['toner', 'facewash']"
8,2,7,5,Dry, Dark,3,4,"['moisturizer', 'serum']"
2,1,8,2,normal,medium,,4,face wash
9,10,7,4,sensitive, fair ,10,,"['toner', 'facewash']"
10,4,10,9, COMBINATION,dark,5,4,['facewash']
1,9,9,5,norml,,6,2,serumm
2,6,10,9,,olive,,,['sunscreen']
8,8,5,1,,medium,2,4,"['toner', 'facewash', 'serum']"
10,10,4,8,oily, Dark,9,2,['sunscreen']
,9,7,6,SENSITIVE, Dark,8,2,['sunscreen']
5,4,,9,dry,olive,7,0,"['sunscreen', 'moisturizer']"
0,2,10,1, COMBINATION,FAIR,1,1,['toner']
3,,9,8,,brown,4,4,['sunscreen']
8,4,10,7,normal,medium,,0,
0,3,7,2,oily, Dark,0,10,['serum']
8,8,8,8,OILY,DARK,,10,
10,10,,1,combination, DARK,6,10,face wash
,8,6,7,sensitive, Dark,8,7,"['toner', 'facewash', 'sunscreen']"
,8,10,,Dry,dark,10,3,"['toner', 'facewash', 'moisturizer']"
3,4,7,9,Dry,olive,0,,"['sunscreen', 'moisturizer']"
8,9,7,1,normal, brown ,,4,serumm
1,10,0,1,sensitive,medum,10,9,['toner']
5,10,7,2,Dry,dark,4,10,"['toner', 'facewash', 'moisturizer']"
1,7,3,,oily, medum ,9,,"['toner', 'facewash']"
2,10,7,7,norml, medium ,2,8,"['toner', 'facewash', 'sunscreen']"
9,4,,8,COMBINATION,brown,6,9,serumm
2,5,9,1,sensitive,FAIR,5,4,face wash
2,6,10,3,normal,dark,10,5,['moisturizer']
8,5,3,9,OILY,dark,1,8,"['sunscreen', 'serum']"
3,3,1,4,normal,,5,9,moistrzr
5,2,8,6,oily,medum,,3,['serum']
6,10,7,5,oily,olive,3,1,"['toner', 'facewash']"
9,7,0,8,yoli,drak,,2,"['toner', 'facewash', 'serum', 'sunscreen']"
9,3,9,,NORML,,1,10,['sunscreen']
9,4,2,10,, Dark,0,1,"['sunscreen', 'serum']"
10,,0,1, COMBINATION,FRIA,9,6,['serum']
0,6,7,10,lyoi,,1,3,['sunscreen']
,0,5,4, COMBINATION,medium,10,,['toner']
7,10,10,0, COMBINATION,dark,,10,"['toner', 'facewash', 'serum']"
8,7,3,10,dry,,9,8,"['sunscreen', 'moisturizer', 'serum']"
,1,0,0, COMBINATION,dark,,9,['toner']
1,3,7,4,OILY,medium,4,5,['sunscreen']
,4,6,5,sensitive,FAIR,9,10,['serum']
1,0,0,3,norml, fair ,1,5,['sunscreen']
,9,10,9, dry , Dark,7,3,
1,0,6,9,OILY,FAIR,2,5,['facewash']
4,4,1,8, combination ,MEDUM,10,3,['sunscreen']
,0,1,8, OILY ,olive,,9,['toner']
1,6,3,,OILY,FAIR,1,3,['sunscreen']
4,3,2,5,dry,,0,7,serumm
4,7,9,3,DRY,FAIR,3,4,serumm
4,10,5,4,Dry,brown,4,7,"['toner', 'facewash', 'moisturizer']"
,1,3,3,combination,olive,4,5,['sunscreen']
10,4,10,5,OILY,edmium,,3,['serum']
10,2,8,,normal, Dark,10,,['serum']
9,4,8,2, sensitive ,fair,9,9,['serum']
7,6,6,, sensitive ,  Dark ,9,8,['serum']
7,2,5,10,enstviies, DARK,5,4,"['sunscreen', 'serum']"
2,8,6,3, combination ,FAIR,5,4,face wash
,1,0,,OILY,FAIR,8,4,['moisturizer']
7,9,3,0,oily,dkar,3,6,"['toner', 'facewash', 'serum']"
10,1,1,5, oily ,,8,2,
,9,8,10,combination,,8,10,"['toner', 'facewash', 'sunscreen']"
3,1,0,,,fair,4,5,['moisturizer']
6,8,9,9,norml,FAIR,10,5,face wash
5,2,7,8,OILY,olive,0,,['sunscreen']
6,10,,9,SENSITIVE,,10,7,"['toner', 'facewash', 'sunscreen']"
6,7,10,,Dry,BROWN,9,6,face wash
2,8,,, COMBINATION,brown,5,10,"['toner', 'facewash']"
2,8,,, COMBINATION, dark ,10,1,"['toner', 'facewash']"
0,0,2,10,sensitive, olive ,2,7,['sunscreen']
6,9,7,0,dry,dark,3,7,moistrzr
9,1,6,7,sensitive,medum,8,6,['sunscreen']
8,,10,0,combination,fair,0,10,
3,0,6,7,sensitive,medum,2,0,['sunscreen']
2,1,5,10,sensitive,MEDIUM,6,8,['sunscreen']
4,3,0,10,DRY,dark,5,10,"['sunscreen', 'moisturizer']"
7,3,0,4,sensitive,dark,9,4,['serum']
,,9,8,dry,medum,5,7,['moisturizer']
9,2,,1,ydr, Dark,3,8,face wash
8,,0,0,,fair,,3,['serum']
10,9,5,4,sensitive, medum ,5,9,"['toner', 'facewash']"
,6,9,9,combination,fair,8,5,serumm
,1,7,8,oily,medum,3,4,face wash
4,1,4,8, OILY ,ARFI,3,9,['sunscreen']
2,,7,, normal ,MEDUM,5,,['facewash']
4,10,5,8,OILY,medium,1,9,
10,2,0,,sensitive,FAIR,1,5,['serum']
0,7,,5,normal,dark,8,5,['toner']
9,6,4,7,normal, olive ,7,9,['serum']
,5,0,8,sensitive,FAIR,2,8,['facewash']
6,2,8,6,,brown,6,6,serumm
1,,3,9,oily,iraf,7,1,['sunscreen']
3,9,,2,  COMBINATION ,brown,5,1,"['toner', 'facewash']"
7,7,0,2,oily, medum ,,,['serum']
6,3,7,2,NORML,brown,8,4,face wash
1,8,,10,norml, Dark,7,,"['toner', 'facewash']"
0,,2,,combination,medum,6,5,face wash
9,9,7,6,Dry,FAIR,3,6,"['moisturizer', 'serum']"
0,,1,6, sensitive ,medum,8,4,['serum']
8,7,0,10,combination,olive,1,5,
4,10,6,8,, fair ,3,7,
3,2,1,7,NORMAL, Dark,10,7,moistrzr
10,2,0,5,COMBINATION,medum,4,7,['serum']
5,3,9,9,,olive,10,1,['toner']
7,4,7,4, COMBINATION, DARK,5,9,['moisturizer']
4,10,2,9,oily,FAIR,7,2,"['toner', 'facewash', 'sunscreen']"
3,5,1,6,  COMBINATION ,olive,4,9,['toner']
4,4,1,10, OILY ,medum,9,8,['sunscreen']
2,6,4,9,veeistnis,fair,9,4,['serum']
3,,5,6, Dry ,olive,6,10,['moisturizer']
7,4,6,3,OILY,FAIR,8,4,['serum']
2,4,8,10, norml ,medium,7,0,['sunscreen']
4,5,9,10,norml,brown,1,5,face wash
8,3,2,, combination , Dark,1,8,serumm
,9,10,10,,brown,1,10,"['toner', 'facewash', 'sunscreen']"
9,2,6,1,OILY,,0,8,['serum']
5,8,2,2,COMBINATION,medum,9,2,"['toner', 'facewash']"
1,10,,2, COMBINATION,medum,4,10,
4,9,2,,norml,dark,0,5,"['toner', 'facewash']"
2,0,9,8, COMBINATION, Dark,10,0,['toner']
4,4,1,0,Dry,brown,5,6,moistrzr
10,10,8,7,,medium,9,2,serumm
8,0,5,9, Dry ,medum,1,9,"['sunscreen', 'moisturizer']"
8,8,7,10,OILY,FAIR,6,5,"['toner', 'facewash', 'sunscreen']"
1,,9,6, COMBINATION, fair ,5,8,['facewash']
4,5,9,5,dry, medum ,7,7,['moisturizer']
5,7,6,0,,brown,,10,face wash
9,9,9,4,,brown,9,8,"['toner', 'facewash', 'serum']"
6,6,9,1,dry,fair,,2,['moisturizer']
8,5,8,8,oily,MEDUM,6,9,"['sunscreen', 'serum']"
,1,4,2,sensitive,olive,0,5,['sunscreen']
8,1,8,7,dry,brown,10,,['moisturizer']
4,1,9,9,oily, olive ,5,6,['sunscreen']
2,5,,7,, Dark,0,3,['sunscreen']
0,7,1,7,dry,fair,,,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
5,0,6,6,, brown ,5,,['serum']
4,,0,5,OILY,DARK,7,0,moistrzr
1,4,7,10,combination, FAIR ,3,4,['sunscreen']
9,4,,5,, medium ,4,1,['toner']
9,3,10,3,combination,brown,6,6,['serum']
8,9,1,,Dry,krad,,8,"['toner', 'facewash', 'moisturizer', 'serum']"
1,,7,5,Dyr,dark,2,4,face wash
3,0,4,,ATBI ICNNOOM,dark,4,6,['facewash']
,1,3,0,dry,medium,4,4,['moisturizer']
3,,,5, COMBINATION,medium,9,2,['sunscreen']
,3,8,,SENSITIVE,DARK,4,0,face wash
10,2,8,6,oily,medium,2,,['serum']
3,,6,4,combination,,10,,['facewash']
0,6,4,,, Dark,4,4,['facewash']
2,4,7,7, COMBINATION,FAIR,1,10,
,1,10,6, COMBINATION,fair,2,7,['serum']
3,9,9,,DRY, Dark,,,"['toner', 'facewash', 'moisturizer']"
5,0,0,8,OILY,medum,4,3,['toner']
0,2,3,10,oily,,,4,['serum']
9,4,9,7,OILY, medium ,2,6,['serum']
5,9,,9,yrd, Dark,,10,"['toner', 'facewash']"
5,9,8,6,Dry, brown ,10,6,"['toner', 'facewash', 'moisturizer']"
10,,0,8, dry , DARK,8,10,face wash
9,2,10,10, combination , FAIR ,7,8,['toner']
0,2,5,3,combination,fair,7,8,moistrzr
6,10,0,1,Dry,medum,0,8,"['toner', 'facewash', 'moisturizer']"
3,9,,, normal ,fair,4,,"['toner', 'facewash']"
10,4,2,5,norml,medum,0,7,['serum']
3,5,1,1,sensitive,medium,7,0,['facewash']
7,9,9,0,oily,,8,0,"['toner', 'facewash', 'serum']"
3,8,0,8, oily ,fair,7,4,moistrzr
5,4,3,9, COMBINATION,FAIR,,9,
7,7,8,, COMBINATION, Dark,9,7,"['toner', 'facewash', 'serum']"
2,1,1,8,OILY, olive ,3,4,serumm
1,8,6,2,norml,FAIR,,6,['sunscreen']
,9,10,9,sensitive,dark,5,7,"['toner', 'facewash']"
7,4,3,10,, medum ,,8,['serum']
9,,2,2, OILY ,fair,0,4,['serum']
5,7,10,, normal ,medum,6,0,['moisturizer']
6,9,,,dry,medum,10,6,"['toner', 'facewash', 'moisturizer']"
8,0,9,8,,medium,3,7,['sunscreen']
2,,7,7,dry,fair,2,7,
,10,5,,,brown,8,9,['facewash']
5,7,1,0,sensitive,medium,9,9,moistrzr
1,3,9,8,normal, medium ,,8,
8,8,7,, COMBINATION, medium ,,9,serumm
6,1,10,0,normal,brown,4,,['moisturizer']
2,6,4,9, COMBINATION,medum,7,5,['sunscreen']
5,6,6,3,sensitive,fair,9,9,['serum']
,7,5,10,sensitive,brown,7,6,['sunscreen']
,3,6,8, COMBINATION,dark,1,4,serumm
8,8,5,6,sensitive,olive,8,9,['moisturizer']
7,9,5,5,combination,medum,6,6,moistrzr
1,8,3,,, brown ,8,10,serumm
9,2,4,4,Dry,fair,6,3,
10,3,0,5,,,3,,['toner']
9,9,4,10,normal,,8,,"['sunscreen', 'serum']"
0,10,,4, COMBINATION,FAIR,,,"['toner', 'facewash']"
6,2,3,9, COMBINATION,MEDIUM,8,9,['sunscreen']
0,10,4,7, COMBINATION,medum,9,6,"['toner', 'facewash', 'sunscreen']"
3,6,0,5,Dry, Dark,8,,['moisturizer']
3,7,4,4,norml,FAIR,0,5,
1,0,5,4,combination, Dark,4,8,['sunscreen']
9,9,2,0,,dark,7,4,serumm
10,4,7,7,yilo,MEDIUM,10,1,"['sunscreen', 'serum']"
2,9,9,0,normal,brown,2,3,serumm
10,6,8,4,, Dark,0,1,moistrzr
9,,8,9,Dry,dark,,1,"['moisturizer', 'serum']"
0,4,0,,dry,MEDIUM,,1,serumm
5,2,4,9,,medum,7,9,['sunscreen']
1,4,10,7,SENSITIVE,,0,9,['facewash']
9,10,3,4,Dry,medium,9,10,"['moisturizer', 'serum']"
2,1,2,10,normal,fair,4,6,['moisturizer']
1,6,5,6,normal,fair,6,8,['toner']
6,5,9,,,mmdue,6,5,
3,6,7,7,OILY, Dark,3,9,
8,2,8,2,,olive,6,3,['toner']
4,2,1,7,combination,OLIVE,,6,['sunscreen']
7,0,7,9,OILY,dark,4,7,"['sunscreen', 'serum']"
8,,2,,Dry,olive,8,9,['moisturizer']
,7,5,4,OILY, Dark,2,3,"['toner', 'facewash']"
6,6,2,,norml,medium,2,1,['sunscreen']
5,6,3,4,Dry,DARK,7,8,
6,9,0,10, COMBINATION,owbrn,2,10,"['toner', 'facewash', 'sunscreen']"
4,2,0,1,OILY, brown ,7,6,['moisturizer']
9,2,3,2,OILY,olive,3,7,['serum']
8,6,8,8,OILY,FAIR,6,6,['serum']
7,9,2,7,normal, brown ,0,5,"['toner', 'facewash', 'sunscreen']"
1,,2,10,OILY,medum,9,4,['sunscreen']
,,0,4,OILY,medum,8,,moistrzr
6,8,3,2,OILY,olive,10,3,"['toner', 'facewash']"
6,7,1,4,OILY,fair,4,8,"['toner', 'facewash']"
2,5,9,4,OILY,brown,1,1,['sunscreen']
3,3,6,0,COMBINATION,,10,5,['facewash']
10,8,1,4,sensitive,medum,9,10,"['toner', 'facewash', 'serum']"
